Iid,Name,Directory_Name,Type,Class,Effective_Date,EndDt,GeoAreatype,County,Mail_StrAddr1,Mail_StrAddr2,Mail_City,Mail_State,Mail_Zip,Mail_Zip4,Street_StrAddr1,Street_StrAddr2,Street_City,Street_State,Street_Zip,Street_Zip4,Voice_Phone,Fax_Phone,TollFree_phone,Director_Name
2353,Hearing & Speech Institute EI/ECSE,Hearing & Speech Institute EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,,,,,,,,,,,,,,,,
2357,Portland SD 1J EI/ECSE Service Area 6,Portland SD 1J EI/ECSE Service Area 6,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,531 SE 14th,,Portland,OR,97214,6436,531 SE 14th,,Portland,OR,97214,6436,503-916-5840 x482,,,
2359,Emily School EI/ECSE,Emily School EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,,,,,,,,,,,,,,,,
2361,Multnomah County Health Dept EI/ECSE,Multnomah County Health Dept EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,,,,,,,,,,,,,,,,
2364,North Central ESD EI/ECSE-Sherman,North Central ESD EI/ECSE-Sherman,EI/ECSE,SECC,9/24/1999,,County,Sherman,PO Box 232,,Wasco,OR,97065,232,,,,,,,541-565-3600,,,
2370,Umatilla/Morrow ESD EI/ECSE-Union,Umatilla/Morrow ESD EI/ECSE-Union,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Union,2001 SW Nye Ave,,Pendleton,OR,97801,4416,2001 SW Nye Ave,,Pendleton,OR,97801,4416,541-276-6992,,,
2372,EI/ECSE & Head Start Programs-Wallowa,EI/ECSE & Head Start Programs-Wallowa,EI/ECSE,SECC,9/24/1999,6/30/2012,County,Wallowa,107 SW First St Ste 105,,Enterprise,OR,97828,1285,107 SW First St Ste 105,,Enterprise,OR,97828,1285,541-426-4225 xx105,,,
2373,Columbia Gorge ESD EI/ECSE-Wasco,Columbia Gorge  ESD EI/ECSE-Wasco,EI/ECSE,SECC,9/24/1999,,County,Wasco,1721 W 10th St,,The Dalles,OR,97058,3643,,,,,,,541-296-1478,,,
2380,North Central ESD EI/ECSE-Wheeler,North Central ESD EI/ECSE-Wheeler,EI/ECSE,SECC,9/24/1999,,County,Wheeler,PO Box 232,,Wasco,OR,97065,232,,,,,,,541-565-3600,,,
2381,Willamette ESD Cozine Center EI/ECSE-Yamhill/Polk,Willamette ESD Cozine Center EI/ECSE-Yamhill/Polk,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Yamhill,Yamhill Center,2045 SW Hwy 18 Ste 100,McMinnville,OR,97128,8598,,,,,,,503-435-5941,,,
3586,Multnomah ESD-EI/ECSE,Multnomah ESD-EI/ECSE,EI/ECSE,SECC,8/19/2002,8/21/2002,County,Multnomah,PO Box 301039,,Portland,OR,97294,9039,,,,,,,503-255-1841,,,
4489,EI/ECSE - Polk,EI/ECSE - Polk,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4490,EI/ECSE - Yamhill,EI/ECSE - Yamhill,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4491,EI/ECSE - Linn,EI/ECSE - Linn,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4492,EI/ECSE - Benton,EI/ECSE - Benton,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4493,EI/ECSE - Lincoln,EI/ECSE - Lincoln,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4494,EI/ECSE - Coos,EI/ECSE - Coos,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4495,EI/ECSE - Curry,EI/ECSE - Curry,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4496,EI/ECSE - Tillamook,EI/ECSE - Tillamook,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4497,EI/ECSE - Columbia,EI/ECSE - Columbia,EI/ECSE,SECC,7/1/2006,6/30/2006,,,,,,,,,,,,,,,,,,
4562,Southern Oregon ESD EI/ECSE-Josephine,Southern Oregon ESD EI/ECSE-Josephine,EI/ECSE,SECC,7/1/2006,,County,Josephine,,,,,,,1021 NW Higland,,Grants Pass,OR,97526,1146,541-956-2059,,,
2283,Clackamas ESD EI/ECSE (Area 9),Clackamas ESD EI/ECSE (Area 9),EI/ECSE Service Center,SECC,6/4/1999,,County,Clackamas,13455 SE 97th Ave,,Clackamas,OR,97015,8662,13455 SE 97th Ave,,Clackamas,OR,97015,8662,503-675-4150,,,
2294,High Desert ESD EI/ECSE - Deschutes (Area 2),High Desert ESD EI/ECSE - Deschutes (Area 2),EI/ECSE Service Center,SECC,9/24/1999,,County,Deschutes,2804 SW 6th St,,Redmond,OR,97756,7143,2804 SW 6th St,,Redmond,OR,97756,7143,541-312-1964,,,
2295,Douglas ESD EI/ECSE (Area 3),Douglas ESD EI/ECSE (Area 3),EI/ECSE Service Center,SECC,9/24/1999,,County,Douglas,1871 NE Stephens St,,Roseburg,OR,97470,1493,1871 NE Stephens St,,Roseburg,OR,97470,1493,541-440-4791,,,Susan Graham
2318,Lane ESD-EI/ECSE (Area 7),Lane ESD-EI/ECSE (Area 7),EI/ECSE Service Center,SECC,9/24/1999,,County,Lane,PO Box 2680,,Eugene,OR,97402,374,1200 Hwy 99N,,Eugene,OR,97402,2014,541-461-8374,,,
2323,Linn-Benton-Lincoln ESD EI/ECSE (Area 4),Linn-Benton-Lincoln ESD EI/ECSE (Area 4),EI/ECSE Service Center,SECC,9/24/1999,,County,Linn,905 4th Ave SE,,Albany,OR,97321,3199,905 4th Ave SE,,Albany,OR,97321,3199,541-812-2702,,,
2326,Willamette ESD EI/ECSE-Marion (Area 5),Willamette ESD EI/ECSE-Marion (Area 5),EI/ECSE Service Center,SECC,9/24/1999,,County,Marion,2611 Pringle Rd SE,,Salem,OR,97302,1533,2611 Pringle Rd SE,,Salem,OR,97302,1533,503-435-5925,,,
2342,David Douglas School District EI/ECSE (Area 6),David Douglas School District EI/ECSE (Area 6),EI/ECSE Service Center,SECC,6/4/1999,,County,Multnomah,1500 SE 130th Ave,,Portland,OR,97233,1719,1500 SE 130th Ave,,Portland,OR,97233,1719,503-256-6500,,,Donald Grotting
2366,InterMountain ESD EI/ECSE-Umatilla (Area 1),InterMountain ESD EI/ECSE-Umatilla (Area 1),EI/ECSE Service Center,SECC,9/24/1999,,County,Umatilla,800 M Avenue,,La Grande,OR,97850,,800 M Avenue,,La Grande,OR,97850,,541-975-5651,,,
2375,NW Regional ESD EI/ECSE-Washington (Area 8),NW Regional ESD EI/ECSE-Washington (Area 8),EI/ECSE Service Center,SECC,7/7/2000,,County,Washington,,5825 NE Ray Cir,Hillsboro,OR,97124,6436,,,,,,,503-614-1251,,,
